Sample ID,Run Type,Voltage [V],Standoff [mm],Dark Fit,Dark Accept,Sig Fit,Sig Accept,Delta I [A],Delta I Err [A],Delta I Noise [A],Dark Noise [A],Sig Noise [A],SNR Dark,SNR Dark Err,Dark Plat [A],Dark Plat Err [A],SDR Plat,SDR Plat Err,Dark End [A],Dark End Err [A],SDR End,SDR End Err,RC Dark [s],RC Dark Err [s],RC Sig [s],RC Sig Err [s]
DG-PCB001,td voltage,-70,7.5,StretchedExponential,plat,Constant,True,-9.178866887501014e-11,5.718196503881169e-12,9.994514501147107e-12,9.67658472848598e-12,8.286361863343368e-12,9.485647204101069,0.5909312701048245,-1.921668210015608e-09,9.67658502251461e-12,0.047759944392823606,0.0029789268998753806,-1.9203609302325585e-09,9.67658475251906e-12,0.04779244981878743,0.0029809592688368257,4.922354397456253e-10,4.167510970640344e-12,,
DG-PCB001,td voltage,-30,7.5,StretchedExponential,plat,Constant,True,-9.394545330076634e-11,4.7682813974223024e-12,9.892665832401712e-12,4.692982855162184e-12,8.465604405653422e-12,20.018281805020504,1.0160449216594285,-1.2384643553796851e-09,4.692982938488723e-12,0.07585286544908812,0.003854349417097913,-1.2416159624413145e-09,4.692982905181924e-12,0.0756603451509669,0.0038445446911621567,10.995015771591376,2.386609988586159e-07,,
DG-PCB001,td voltage,-10,7.5,StretchedExponential,plat,Constant,True,-3.7109077978741664e-11,4.77252238564186e-12,9.334588711739763e-12,4.502496019894825e-12,8.021285793557972e-12,8.241890234832125,1.059972593990953,4.1658541051337135e-11,4.502604008385165e-12,0.8929291954976393,0.12966698327669687,-2.72761635046729e-10,4.502496071787122e-12,0.13606020076567266,0.01755544169289016,38898.22967643499,1.1724694154605249e-11,,
DG-PCB001,td voltage,-5,7.5,StretchedExponential,plat,Constant,True,-3.4175660362945116e-12,2.9612784174159707e-12,5.306514479195378e-12,4.171001783855727e-12,3.0033488984367166e-12,1.333041170413612,0.70996814934913,-5.978710344799428e-11,4.171009615113324e-12,0.09278406615418718,0.049737147763501674,-1.1032854644549764e-10,4.171001840668655e-12,0.0503616492859791,0.02687361802987412,8926.81682023051,3.384989520602371e-10,,
DG-PCB001,td voltage,0,7.5,StretchedExponential,plat,Constant,True,-1.5395374947868343e-11,2.8195588400132173e-12,5.828946206152428e-12,4.425143032056719e-12,5.5900815208854086e-12,3.4790683230668087,0.6371678428443345,-4.629165811926523e-11,4.42514463185821e-12,0.3262290213527397,0.06369204459100677,-4.851355395348837e-11,4.425143084610532e-12,0.3117697556044468,0.060545459413551925,44.856533753654034,3.343810938949952e-06,,
DG-PCB001,td voltage,5,7.5,StretchedExponential,plat,Constant,True,8.532138398039844e-12,2.9480474591746094e-12,5.934810420847292e-12,3.933977188501715e-12,4.005195990123904e-12,2.4482646431706625,0.7493809236594469,1.001594573292837e-10,3.933977240798037e-12,0.09610524293507491,0.029545286031346277,1.004855162790698e-10,3.9339772476169886e-12,0.09579375488864268,0.02944869709887126,91.90653627919276,7.360700496936095e-06,,
DG-PCB001,td voltage,10,7.5,StretchedExponential,plat,Constant,True,3.854317417662069e-11,2.9577158123565404e-12,6.461949679255526e-12,4.184182444553436e-12,5.4105381513131155e-12,9.211638040973204,0.7068802212978569,-3.458203461678537e-09,4.207857715571834e-12,0.011145393695347706,0.0008553205763923661,2.3772625023255817e-10,4.184182500133741e-12,0.16201525983033724,0.01257837831110325,60210.01881807123,2.4083842578090005e-12,,
DG-PCB001,td voltage,30,7.5,StretchedExponential,plat,Constant,True,5.984816474537337e-11,2.48021540566667e-12,4.374684046713576e-12,6.8845528822838344e-12,6.8845528822838344e-12,8.693108436915626,0.3602580222818916,3.9711232614328696e-10,6.884552985531988e-12,0.15072851600134757,0.0064312998463126264,3.9852200981308416e-10,6.8845529162213844e-12,0.15019521409168404,0.006407264331264912,40.641896044980136,6.815628572678225e-07,,
DG-PCB001,td voltage,70,7.5,StretchedExponential,plat,Constant,True,1.4395452474686606e-10,8.142023172628571e-12,1.4927309210078263e-11,8.548653311185708e-12,1.2049860396357061e-11,16.839438857405177,0.9524334273767926,-8.155038623075238e-10,8.548705646709663e-12,0.17645315236590714,0.010041997867900523,9.074691269767443e-10,8.548653338389776e-12,0.15858275590609539,0.009014318571452915,145.03972006150218,3.332985437393019e-09,,
DG-PCB001,td standoff,30,1.5,StretchedExponential,plat,Constant,True,9.99769447545092e-13,2.8203575433632146e-12,4.896014603842574e-12,4.8006960290557886e-12,3.836884227019488e-12,0.8247067974891807,0.587489298696116,8.556786341212394e-11,4.8006966993910525e-12,0.046264928855420065,0.03299481804437482,5.490738906976743e-10,4.800696077498376e-12,0.007210609669769583,0.005136702006262536,244.42390024514498,4.1702874993399795e-09,,
DG-PCB001,td standoff,30,3.5,StretchedExponential,plat,Constant,True,3.055741771624391e-11,2.631980484108906e-12,4.568416333083977e-12,4.9097503971842315e-12,4.9097503971842315e-12,6.223823054990484,0.5360721566657158,4.0170471182761427e-10,4.9097530371058726e-12,0.07606496804843721,0.006574226550669246,4.590344041860465e-10,4.909750444550822e-12,0.06656596190646936,0.005748615773738483,77.70580905549228,0.0011783603665195166,,
DG-PCB001,td standoff,30,5.5,StretchedExponential,plat,Constant,True,5.953286367391656e-11,2.9149518076226948e-12,5.122145990624621e-12,4.6249343651493366e-12,3.4771634930199863e-12,12.872153196923106,0.6302687946423587,3.822890946465815e-10,4.624936899884288e-12,0.15568405711959377,0.0077068341571779764,4.0904757674418616e-10,4.624934415432891e-12,0.1455047672666049,0.007193059603630297,61.74037027606931,1.7698807098406587e-07,,
DG-PCB001,td standoff,30,7.5,StretchedExponential,plat,Constant,True,5.984816474537337e-11,2.48021540566667e-12,4.374684046713576e-12,6.8845528822838344e-12,6.8845528822838344e-12,8.693108436915626,0.3602580222818916,3.9711232614328696e-10,6.884552985531988e-12,0.15072851600134757,0.0064312998463126264,3.9852200981308416e-10,6.8845529162213844e-12,0.15019521409168404,0.006407264331264912,40.641896044980136,6.815628572678225e-07,,
DG-PCB001,td standoff,30,9.5,StretchedExponential,plat,Constant,True,6.237797703982312e-11,2.840240653420706e-12,4.937044158694153e-12,5.299952275279913e-12,5.299952275279913e-12,11.76953561087089,0.5358992885026876,3.740961778638653e-10,5.299954474435744e-12,0.16673513783823768,0.007715241269085506,3.8807101448598134e-10,5.299952319364246e-12,0.16073136340802474,0.007429089559706335,46.90913715427563,7.058355104692993e-07,,
DG-PCB001,td standoff,30,11.5,StretchedExponential,plat,Constant,True,6.233635020207035e-11,2.831611230408192e-12,4.981170855265208e-12,4.519305368379393e-12,3.136451366688362e-12,13.79334767644257,0.6265589508999251,3.919204670069168e-10,4.519305726155281e-12,0.15904508220667188,0.007304199169949617,3.991488280373832e-10,4.519305420078679e-12,0.15616515750317625,0.007169148021459335,50.528556597542185,0.001586857988972003,,
DG-PCB001,td standoff,30,13.5,StretchedExponential,plat,Constant,True,6.276012003538038e-11,2.4389266967916157e-12,4.231408786254977e-12,4.730656158975798e-12,4.730656158975798e-12,13.266683928465461,0.5155578031525443,3.9062342706450425e-10,4.7306566148359985e-12,0.16055139365271123,0.006346010240761961,3.962745887850467e-10,4.730656208365323e-12,0.1582649298488552,0.006252682133663366,36.992463959316545,6.173550615087669e-07,,
